Codigo_Disciplina,PercentualAbaixoDaMedia
36,100.0
23,100.0
16,100.0
9,100.0
39,100.0
35,100.0
17,100.0
32,100.0
30,75.0
8,66.66666666666666
27,66.66666666666666
3,66.66666666666666
5,66.66666666666666
10,66.66666666666666
14,50.0
21,50.0
4,50.0
20,50.0
18,50.0
37,50.0
11,50.0
26,50.0
29,50.0
15,50.0
31,50.0
40,50.0
22,33.33333333333333
34,33.33333333333333
28,33.33333333333333
38,33.33333333333333
33,0.0
6,0.0
7,0.0
13,0.0
19,0.0
2,0.0
25,0.0
1,0.0
12,0.0
24,0.0
41,0.0
